target_hhi,measured_target_hhi,sim,initial_hhi,initial_one_minus_hhi,initial_gini,initial_max_share,final_hhi,final_one_minus_hhi,final_gini,final_max_share,rounds,frozen,active_density,cluster_count,largest_cluster_fraction,interface_length,max_wealth
0.17,0.1566815012800001,5,0.1566815012800001,0.8433184987199999,0.3995024680000001,0.395784,0.15675828480000004,0.8432417152,0.8144618671999999,0.395792,1000,False,0.4192,1934,0.00691793893129771,11991,98948
0.17,0.15668150128000013,6,0.15668150128000013,0.8433184987199999,0.3995024680000001,0.395784,0.15678425270399995,0.843215747296,0.8152605728,0.395824,1000,False,0.4177,1971,0.007182188173330141,12050,98956
0.17,0.1566815012800001,7,0.1566815012800001,0.8433184987199999,0.3995024680000001,0.395784,0.15660849779200003,0.843391502208,0.8125577096000001,0.395604,1000,False,0.4228,1972,0.004966887417218543,12130,98901
0.17,0.15668150128000016,8,0.15668150128000016,0.8433184987199999,0.3995024680000001,0.395784,0.15673663750400002,0.843263362496,0.815785312,0.395764,1000,False,0.4173,2009,0.005271986580397795,12107,98941
0.17,0.15668150128000008,9,0.15668150128000008,0.84331849872,0.3995024680000001,0.395784,0.15662501535999998,0.84337498464,0.8137024608000001,0.395624,1000,False,0.4243,1988,0.005185010605703512,12184,98906
0.21,0.19354690371200006,0,0.19354690371200006,0.8064530962879999,0.43995540720000004,0.439904,0.193492335552,0.806507664448,0.836082344,0.439768,1000,False,0.3979,2150,0.004523749685850716,12045,109942
0.21,0.19354690371200003,1,0.19354690371200003,0.806453096288,0.43995540720000004,0.439904,0.19355631644799998,0.806443683552,0.8370338232000001,0.43984,1000,False,0.3995,2095,0.004755944931163955,11960,109960
0.21,0.19354690371200003,2,0.19354690371200003,0.806453096288,0.43995540720000004,0.439904,0.193644792736,0.806355207264,0.8380931224000001,0.43994,1000,False,0.3965,2168,0.00403530895334174,12049,109985
0.21,0.19354690371200006,3,0.19354690371200006,0.8064530962879999,0.43995540720000004,0.439904,0.19364787817599996,0.8063521218240001,0.8373245968,0.439944,1000,False,0.3987,2106,0.004514672686230248,11942,109986
0.21,0.19354690371200006,4,0.19354690371200006,0.8064530962879999,0.43995540720000004,0.439904,0.19368219475200005,0.806317805248,0.8359612288,0.439984,1000,False,0.3979,2135,0.003769791404875597,12020,109996
0.21,0.19354690371200006,5,0.19354690371200006,0.8064530962879999,0.43995540720000004,0.439904,0.19354604339199996,0.806453956608,0.8376788288000001,0.439828,1000,False,0.398,2077,0.0035175879396984926,11884,109957
0.21,0.19354690371200003,6,0.19354690371200003,0.806453096288,0.43995540720000004,0.439904,0.19350640319999998,0.8064935968,0.8360313399999999,0.439784,1000,False,0.4015,2106,0.0037359900373599006,12019,109946
0.21,0.19354690371200006,7,0.19354690371200006,0.8064530962879999,0.43995540720000004,0.439904,0.19362892742399998,0.806371072576,0.8349809064,0.439924,1000,False,0.4026,2079,0.003974167908594138,11993,109981
0.21,0.19354690371200006,8,0.19354690371200006,0.8064530962879999,0.43995540720000004,0.439904,0.19359064748799998,0.806409352512,0.8355172056,0.43988,1000,False,0.4012,2104,0.00448654037886341,12003,109970
0.21,0.19354690371200006,9,0.19354690371200006,0.8064530962879999,0.43995540720000004,0.439904,0.19364931363200003,0.806350686368,0.8395375104,0.439944,1000,False,0.3936,2132,0.003556910569105691,11933,109986
0.25,0.23040784547200005,0,0.23040784547200005,0.769592154528,0.47995186319999994,0.47998,0.23037903055999995,0.76962096944,0.8538090464000001,0.479888,1000,False,0.383,2192,0.004438642297650131,11863,119972
0.25,0.23040784547200005,1,0.23040784547200005,0.769592154528,0.47995186319999994,0.47998,0.23049220592000003,0.7695077940799999,0.8566943264,0.480004,1000,False,0.3768,2263,0.002653927813163482,11855,120001
0.25,0.23040784547200005,2,0.23040784547200005,0.769592154528,0.47995186319999994,0.47998,0.23031812409600005,0.769681875904,0.8544483592000001,0.479824,1000,False,0.3829,2206,0.003656307129798903,11890,119956
0.25,0.23040784547200005,3,0.23040784547200005,0.769592154528,0.47995186319999994,0.47998,0.23058699420799994,0.7694130057920001,0.8547122912,0.480104,1000,False,0.3811,2253,0.003411178168459722,11942,120026
0.25,0.23040784547200005,4,0.23040784547200005,0.769592154528,0.47995186319999994,0.47998,0.23031475952000002,0.76968524048,0.8551608336000001,0.47982,1000,False,0.379,2238,0.004221635883905013,11869,119955
0.25,0.23040784547200005,5,0.23040784547200005,0.769592154528,0.47995186319999994,0.47998,0.230511361792,0.769488638208,0.856500356,0.480024,1000,False,0.3798,2281,0.0034228541337546076,11967,120006
